name,age,region,stance
Uma-176,49,south,1.838
Vik-177,50,south,0.169
Wren-178,33,north,0.987
Xan-179,25,east,0.312
Yara-180,77,centre,1.145
Zed-181,34,east,-0.940
Ada-182,74,east,-1.612
Ben-183,57,west,1.172
Cleo-184,25,west,-0.652
Dev-185,57,east,-0.846
Esme-186,31,north,1.012
Finn-187,38,centre,0.362
Gia-188,56,west,-1.783
Hugo-189,63,south,-1.154
Ines-190,73,north,1.703
Jun-191,52,east,0.555
Kai-192,54,north,0.459
Lina-193,68,east,-0.894
Milo-194,38,east,1.792
Nia-195,62,west,1.708
Otto-196,28,west,-1.649
Pia-197,69,north,1.116
Quinn-198,46,south,0.499
Rae-199,74,centre,-1.941
Sol-200,28,north,-1.861
Tess-201,57,north,-0.450
Uma-202,77,south,-0.301
Vik-203,27,south,-1.751
Wren-204,25,west,0.653
Xan-205,40,centre,0.712
Yara-206,60,west,0.979
Zed-207,74,south,0.271
Ada-208,29,west,-0.447
Ben-209,55,centre,-0.292
Cleo-210,53,north,0.950
Dev-211,49,centre,1.909
Esme-212,73,east,-0.326
Finn-213,50,west,-0.161
Gia-214,27,east,-0.282
Hugo-215,74,centre,0.380
Ines-216,31,north,-1.130
Jun-217,59,south,-1.598
Kai-218,46,north,-1.523
Lina-219,44,north,-0.152
Milo-220,66,west,1.839
Nia-221,39,north,0.096
Otto-222,22,west,-0.845
Pia-223,68,south,-1.492
Quinn-224,31,south,-0.683
Rae-225,75,north,0.201
Sol-226,56,centre,0.039
Tess-227,59,west,-0.077
Uma-228,61,east,-0.872
Vik-229,25,south,0.745
Wren-230,59,west,-1.663
Xan-231,77,south,-1.700
Yara-232,46,south,0.483
Zed-233,41,west,-0.183
Ada-234,28,west,-0.408
Ben-235,30,north,0.401
Cleo-236,63,west,0.003
Dev-237,74,centre,-0.764
Esme-238,69,east,-1.092
Finn-239,56,west,-0.240
